name,qty_ordered,order_id,store_id
POP - Davao Dark Milk + Fleur de Sel Bar,1.0,238,2.0
Wholesale Itty Bar Jar,1.0,238,2.0
POP Dark Milk Chocolate + Ancho Chile & Pistachio CollaBARation Bar,1.0,238,2.0
POP Dark Chocolate + Coconut Sugar & Toasted Coconut CollaBARation Bar,1.0,238,2.0
Delivery Fee,1.0,238,2.0
"POP - Cort̩és, Honduras Bars",1.0,243,2.0
POP - Davao Dark Milk + Fleur de Sel Bar,1.0,243,2.0
POP - Dark Chocolate + Peanut Butter Bars,1.0,243,2.0
Chocolate Tasting Kit,8.0,243,2.0
 Wholesale Chalk-late Box,6.0,243,2.0
POP Dark Chocolate + Malted Milk CollaBARation Bar,2.0,244,2.0
POP Dark Chocolate + Coffee CollaBARation Bar,2.0,244,2.0
"POP - Cort̩és, Honduras Bars",2.0,244,2.0
POP Dark Chocolate + Coconut Sugar & Toasted Coconut CollaBARation Bar,1.0,246,2.0
POP - Del Tambo Bars,1.0,246,2.0
"POP - Cort̩és, Honduras Bars",1.0,246,2.0
POP - Tanzania Bars,1.0,246,2.0
POP - Davao Bars,1.0,246,2.0
POP - Del Tambo Nibble Bars,1.0,246,2.0
POP - Davao Dark Milk + Fleur de Sel Bar,1.0,246,2.0
POP Dark Chocolate + Coffee CollaBARation Bar,1.0,246,2.0
POP Dark Chocolate + Crunchy Sugar Crystals and Vanilla Bean,1.0,246,2.0
POP Dark Milk Chocolate + Ancho Chile & Pistachio CollaBARation Bar,2.0,246,2.0
Wholesale Itty Bar Refill,1.0,246,2.0
POP - Davao Bars,1.0,256,2.0
POP - Del Tambo Bars,1.0,256,2.0
POP - Tanzania Bars,1.0,256,2.0
POP - Davao White Chocolate Bars	,1.0,256,2.0
CASE Davao Natural Cocoa Powder,1.0,256,2.0
"POP - Cort̩és, Honduras Bars",1.0,285,2.0
POP - Del Tambo Bars,1.0,285,2.0
POP - Tanzania Bars,1.0,285,2.0
POP - Davao Bars,1.0,285,2.0
POP Dark Milk Chocolate + Ancho Chile & Pistachio CollaBARation Bar,1.0,285,2.0
POP Dark Milk Chocolate + Black Licorice CollaBARation Bar,1.0,285,2.0
Chocolate Tasting Kit,2.0,286,2.0
POP - Tanzania Bars,1.0,286,2.0
"POP - Cort̩és, Honduras Bars",1.0,286,2.0
POP - Dark Chocolate + Peanut Butter Bars,1.0,286,2.0
POP - Davao White Chocolate Nibble Bars,1.0,286,2.0
Wholesale Itty Bar Jar,1.0,286,2.0
Handout - Askinosie Chocolate Hazelnut Spread itty Jar,1.0,286,2.0
Wholesale Mexican-Style Sipping Chocolate 170g Tin,18.0,287,2.0
POP - Dark Chocolate + Peanut Butter Bars,1.0,287,2.0
POP - Tanzania Bars,1.0,289,2.0
Wholesale Itty Bar Refill,3.0,289,2.0
POP Dark Chocolate + Malted Milk CollaBARation Bar,3.0,291,2.0
POP - Davao Bars,3.0,291,2.0
"POP - Cort̩és, Honduras Bars",2.0,291,2.0
POP - Davao Dark Milk + Fleur de Sel Bar,3.0,291,2.0
Davao Natural Cocoa Powder 130g Tin,12.0,291,2.0
Wholesale Tanzania Roasted Cocoa Nibs,12.0,291,2.0
POP Dark Milk Chocolate + Black Licorice CollaBARation Bar,1.0,292,2.0
POP - Tanzania Bars,1.0,292,2.0
POP - Davao Dark Milk + Fleur de Sel Bar,1.0,292,2.0
POP - Dark Chocolate + Peanut Butter Bars,1.0,292,2.0
Chocolate Tasting Kit,12.0,292,2.0
Wholesale Itty Bar Refill,1.0,292,2.0
POP - Del Tambo Bars,1.0,295,2.0
POP Dark Chocolate + Malted Milk CollaBARation Bar,1.0,303,2.0
POP Dark Milk Chocolate + Black Licorice CollaBARation Bar,2.0,303,2.0
POP - Davao Bars,1.0,303,2.0
POP - Del Tambo Bars,2.0,303,2.0
POP - Tanzania Bars,2.0,303,2.0
"POP - Cort̩és, Honduras Bars",1.0,303,2.0
POP - Davao Dark Milk + Fleur de Sel Bar,2.0,303,2.0
POP Dark Milk Chocolate + Ancho Chile & Pistachio CollaBARation Bar,1.0,303,2.0
POP Dark Chocolate + Coffee CollaBARation Bar,1.0,303,2.0
"POP - Cort̩és, Honduras Bars",1.0,306,2.0
POP - Davao Dark Milk + Fleur de Sel Bar,2.0,306,2.0
POP - Davao White Chocolate Nibble Bars,1.0,306,2.0
POP - Davao Bars,1.0,307,2.0
POP - Del Tambo Bars,1.0,307,2.0
Wholesale Mexican-Style Sipping Chocolate 170g Tin,6.0,307,2.0
POP Dark Chocolate + Crunchy Sugar Crystals and Vanilla Bean,1.0,307,2.0
POP Dark Milk Chocolate + Ancho Chile & Pistachio CollaBARation Bar,1.0,307,2.0
POP Dark Chocolate + Coconut Sugar & Toasted Coconut CollaBARation Bar,1.0,307,2.0
Chocolate Tasting Kit,6.0,307,2.0
Wholesale Itty Bar Jar,1.0,308,2.0
POP - Davao Dark Milk + Fleur de Sel Bar,1.0,308,2.0
POP - Dark Chocolate + Peanut Butter Bars,1.0,308,2.0
POP - Tanzania Bars,1.0,308,2.0
POP Dark Milk Chocolate + Ancho Chile & Pistachio CollaBARation Bar,1.0,308,2.0
